ALGORITMO,TRAZA,IPC,ACCESOS,ACIERTOS,FALLOS
drrip,620.omnetpp_s-874B.champsimtrace.xz,0.337421,1826050,902157,923893
lru,654.roms_s-842B.champsimtrace.xz,1.01807,19498,3295,16203
ship,657.xz_s-3167B.champsimtrace.xz,1.01334,288968,167525,121443
promocion,657.xz_s-4994B.champsimtrace.xz,1.21719,25531,7905,17626
drrip,627.cam4_s-573B.champsimtrace.xz,1.13236,612843,311576,301267
lru,657.xz_s-4994B.champsimtrace.xz,1.21719,25531,7905,17626
ship,605.mcf_s-665B.champsimtrace.xz,0.402132,2845180,1802066,1043114
srrip,631.deepsjeng_s-928B.champsimtrace.xz,0.963478,44814,16187,28627
ship,657.xz_s-4994B.champsimtrace.xz,1.2172,25336,7710,17626
promocion,638.imagick_s-10316B.champsimtrace.xz,2.36791,3906,0,3906
srrip,657.xz_s-3167B.champsimtrace.xz,1.00842,287714,169266,118448
lru,603.bwaves_s-3699B.champsimtrace.xz,1.1966,96304,40081,56223
drrip,638.imagick_s-10316B.champsimtrace.xz,2.36767,3906,0,3906
plru_basic,627.cam4_s-573B.champsimtrace.xz,1.12373,612007,310310,301697
lru,631.deepsjeng_s-928B.champsimtrace.xz,0.963011,44814,16385,28429
srrip,600.perlbench_s-210B.champsimtrace.xz,1.40447,4411,20,4391
drrip,602.gcc_s-734B.champsimtrace.xz,0.44403,969904,31197,938707
drrip,600.perlbench_s-210B.champsimtrace.xz,1.40459,4413,22,4391
